Date,Daily Dota 2 Peak Player count
3/1/2018 0:00,601283
3/2/2018 0:00,647604
3/3/2018 0:00,780113
3/4/2018 0:00,675024
3/5/2018 0:00,581450
3/6/2018 0:00,597098
3/7/2018 0:00,601473
3/8/2018 0:00,618572
3/9/2018 0:00,664760
3/10/2018 0:00,703841
3/11/2018 0:00,658069
3/12/2018 0:00,573511
3/13/2018 0:00,626122
3/14/2018 0:00,608757
3/15/2018 0:00,609285
3/16/2018 0:00,673603
3/17/2018 0:00,766493
3/18/2018 0:00,730821
3/19/2018 0:00,624649
3/20/2018 0:00,588361
3/21/2018 0:00,610111
3/22/2018 0:00,605007
3/23/2018 0:00,652831
3/24/2018 0:00,730665
3/25/2018 0:00,714845
3/26/2018 0:00,620067
3/27/2018 0:00,617144
3/28/2018 0:00,623540
3/29/2018 0:00,653680
3/30/2018 0:00,667909
3/31/2018 0:00,716912
4/1/2018 0:00,683745
4/2/2018 0:00,631933
4/3/2018 0:00,614594
4/4/2018 0:00,650948
4/5/2018 0:00,646034
4/6/2018 0:00,682642
4/7/2018 0:00,733580
4/8/2018 0:00,700501
4/9/2018 0:00,643437
4/10/2018 0:00,633481
4/11/2018 0:00,616710
4/12/2018 0:00,629749
4/13/2018 0:00,658821
4/14/2018 0:00,719957
4/15/2018 0:00,684185
4/16/2018 0:00,624873
4/17/2018 0:00,626549
4/18/2018 0:00,616732
4/19/2018 0:00,621653
4/20/2018 0:00,658317
4/21/2018 0:00,721058
4/22/2018 0:00,699732
4/23/2018 0:00,626308
4/24/2018 0:00,625567
4/25/2018 0:00,608569
4/26/2018 0:00,614264
4/27/2018 0:00,638021
4/28/2018 0:00,671635
4/29/2018 0:00,665584
4/30/2018 0:00,672306
5/1/2018 0:00,673089
5/2/2018 0:00,641728
5/3/2018 0:00,632178
5/4/2018 0:00,684080
5/5/2018 0:00,722102
5/6/2018 0:00,714768
5/7/2018 0:00,656976
5/8/2018 0:00,681052
5/9/2018 0:00,766124
5/10/2018 0:00,763122
5/11/2018 0:00,787753
5/12/2018 0:00,850371
5/13/2018 0:00,831583
5/14/2018 0:00,732975
5/15/2018 0:00,731898
5/16/2018 0:00,733331
5/17/2018 0:00,739475
5/18/2018 0:00,741090
5/19/2018 0:00,826910
5/20/2018 0:00,788473
5/21/2018 0:00,735506
5/22/2018 0:00,718829
5/23/2018 0:00,712164
5/24/2018 0:00,708239
5/25/2018 0:00,728096
5/26/2018 0:00,793048
5/27/2018 0:00,769700
5/28/2018 0:00,740924
5/29/2018 0:00,719200
5/30/2018 0:00,706263
5/31/2018 0:00,716262
6/1/2018 0:00,738643
6/2/2018 0:00,783354
6/3/2018 0:00,765986
6/4/2018 0:00,693319
6/5/2018 0:00,696025
6/6/2018 0:00,675772
6/7/2018 0:00,732203
6/8/2018 0:00,785040
6/9/2018 0:00,775795
6/10/2018 0:00,797767
6/11/2018 0:00,753523
6/12/2018 0:00,750215
6/13/2018 0:00,695581
6/14/2018 0:00,690667
6/15/2018 0:00,796694
6/16/2018 0:00,713520
6/17/2018 0:00,738369
6/18/2018 0:00,674839
6/19/2018 0:00,658109
6/20/2018 0:00,653552
6/21/2018 0:00,656156
6/22/2018 0:00,684259
6/23/2018 0:00,737928
6/24/2018 0:00,720726
6/25/2018 0:00,645894
6/26/2018 0:00,644721
6/27/2018 0:00,646900
6/28/2018 0:00,675706
6/29/2018 0:00,700899
6/30/2018 0:00,698215
7/1/2018 0:00,706227
7/2/2018 0:00,641938
7/3/2018 0:00,645397
7/4/2018 0:00,652133
7/5/2018 0:00,649650
7/6/2018 0:00,641501
7/7/2018 0:00,689835
7/8/2018 0:00,704947
7/9/2018 0:00,641629
7/10/2018 0:00,642048
7/11/2018 0:00,640753
7/12/2018 0:00,629668
7/13/2018 0:00,653417
7/14/2018 0:00,664150
7/15/2018 0:00,669554
7/16/2018 0:00,630702
7/17/2018 0:00,638207
7/18/2018 0:00,641427
7/19/2018 0:00,633501
7/20/2018 0:00,661950
7/21/2018 0:00,706228
7/22/2018 0:00,691282
7/23/2018 0:00,638826
7/24/2018 0:00,640014
7/25/2018 0:00,631484
7/26/2018 0:00,634774
7/27/2018 0:00,659829
7/28/2018 0:00,703913
7/29/2018 0:00,694674
7/30/2018 0:00,650729
7/31/2018 0:00,642747
8/1/2018 0:00,658922
8/2/2018 0:00,651499
8/3/2018 0:00,694766
8/4/2018 0:00,720867
8/5/2018 0:00,708076
8/6/2018 0:00,664267
8/7/2018 0:00,662379
8/8/2018 0:00,651816
8/9/2018 0:00,649636
8/10/2018 0:00,644892
8/11/2018 0:00,672937
8/12/2018 0:00,689527
8/13/2018 0:00,633591
8/14/2018 0:00,633665
8/15/2018 0:00,638170
8/16/2018 0:00,649906
8/17/2018 0:00,674974
8/18/2018 0:00,749803
8/19/2018 0:00,772173
8/20/2018 0:00,721568
8/21/2018 0:00,731151
8/22/2018 0:00,718306
8/23/2018 0:00,714113
8/24/2018 0:00,746687
8/25/2018 0:00,830388
8/26/2018 0:00,799926
8/27/2018 0:00,735872
8/28/2018 0:00,730268
8/29/2018 0:00,718474
8/30/2018 0:00,709167
8/31/2018 0:00,740862
9/1/2018 0:00,779625
9/2/2018 0:00,763150
9/3/2018 0:00,678076
9/4/2018 0:00,680541
9/5/2018 0:00,653217
9/6/2018 0:00,654170
9/7/2018 0:00,706645
9/8/2018 0:00,720464
9/9/2018 0:00,750234
9/10/2018 0:00,678176
9/11/2018 0:00,680447
9/12/2018 0:00,672478
9/13/2018 0:00,718562
9/14/2018 0:00,745817
9/15/2018 0:00,817924
9/16/2018 0:00,827979
9/17/2018 0:00,743726
9/18/2018 0:00,647823
9/19/2018 0:00,650922
9/20/2018 0:00,657436
9/21/2018 0:00,707083
9/22/2018 0:00,742887
9/23/2018 0:00,748795
9/24/2018 0:00,663971
9/25/2018 0:00,640752
9/26/2018 0:00,632116
9/27/2018 0:00,645311
9/28/2018 0:00,663510
9/29/2018 0:00,724490
9/30/2018 0:00,726283
10/1/2018 0:00,648336
10/2/2018 0:00,637213
10/3/2018 0:00,634373
10/4/2018 0:00,638210
10/5/2018 0:00,670632
10/6/2018 0:00,729328
10/7/2018 0:00,692554
10/8/2018 0:00,631576
10/9/2018 0:00,631062
10/10/2018 0:00,623080
10/11/2018 0:00,628114
10/12/2018 0:00,685063
10/13/2018 0:00,742992
10/14/2018 0:00,707837
10/15/2018 0:00,635567
10/16/2018 0:00,624736
10/17/2018 0:00,626512
10/18/2018 0:00,620751
10/19/2018 0:00,671770
10/20/2018 0:00,737697
10/21/2018 0:00,724945
10/22/2018 0:00,631863
10/23/2018 0:00,620438
10/24/2018 0:00,618063
10/25/2018 0:00,629209
10/26/2018 0:00,674941
10/27/2018 0:00,733166
10/28/2018 0:00,713633
10/29/2018 0:00,636624
10/30/2018 0:00,640316
10/31/2018 0:00,633942
11/1/2018 0:00,636725
11/2/2018 0:00,684285
11/3/2018 0:00,733020
11/4/2018 0:00,712997
11/5/2018 0:00,660415
11/6/2018 0:00,631000
11/7/2018 0:00,630242
11/8/2018 0:00,638852
11/9/2018 0:00,751285
11/10/2018 0:00,829011
11/11/2018 0:00,765136
11/12/2018 0:00,666748
11/13/2018 0:00,658543
11/14/2018 0:00,633295
11/15/2018 0:00,626075
11/16/2018 0:00,675501
11/17/2018 0:00,735248
11/18/2018 0:00,731799
11/19/2018 0:00,643363
11/20/2018 0:00,774815
11/21/2018 0:00,712973
11/22/2018 0:00,753533
11/23/2018 0:00,701608
11/24/2018 0:00,800975
11/25/2018 0:00,765644
11/26/2018 0:00,684496
11/27/2018 0:00,653681
11/28/2018 0:00,643599
11/29/2018 0:00,648271
11/30/2018 0:00,690311
12/1/2018 0:00,768159
12/2/2018 0:00,745843
12/3/2018 0:00,641604
12/4/2018 0:00,644531
12/5/2018 0:00,626152
12/6/2018 0:00,628314
12/7/2018 0:00,667332
12/8/2018 0:00,715125
12/9/2018 0:00,689371
12/10/2018 0:00,600095
12/11/2018 0:00,593574
12/12/2018 0:00,587364
12/13/2018 0:00,587805
12/14/2018 0:00,639379
12/15/2018 0:00,700240
12/16/2018 0:00,675118
12/17/2018 0:00,602344
12/18/2018 0:00,594422
12/19/2018 0:00,587112
12/20/2018 0:00,705143
12/21/2018 0:00,686395
12/22/2018 0:00,732928
12/23/2018 0:00,730859
12/24/2018 0:00,633898
12/25/2018 0:00,637127
12/26/2018 0:00,641391
12/27/2018 0:00,638887
12/28/2018 0:00,640227
12/29/2018 0:00,676970
12/30/2018 0:00,685819
12/31/2018 0:00,584785
1/1/2019 0:00,630381
1/2/2019 0:00,653543
1/3/2019 0:00,645297
1/4/2019 0:00,679515
1/5/2019 0:00,731384
1/6/2019 0:00,698277
1/7/2019 0:00,669920
1/8/2019 0:00,654147
1/9/2019 0:00,631040
1/10/2019 0:00,633023
1/11/2019 0:00,695608
1/12/2019 0:00,779866
1/13/2019 0:00,762186
1/14/2019 0:00,714087
1/15/2019 0:00,677102
1/16/2019 0:00,675936
1/17/2019 0:00,688226
1/18/2019 0:00,726421
1/19/2019 0:00,804664
1/20/2019 0:00,796605
